Category,#,Task Description,Min Hours,Max Hours,Notes / Assumptions
Client Accounting - State Machine + Level 1 (Prebilling),31,"Prebill No. / Prebill Date manual entry fields",1,1,
Client Accounting - State Machine + Level 1 (Prebilling),32,"Prebilling case table: pull Case System fields (Date, Case ID, Vehicle No., Contact No., Service, Travel Km)",2,3,
Client Accounting - State Machine + Level 1 (Prebilling),33,"Client Rate Card lookup (Base Fee, Base Kms, Rate/Km) per client + service",2,3,
Client Accounting - State Machine + Level 1 (Prebilling),34,"Extra Kms / Extra Kms Fee formula (Travel Km - Base Kms, else 0; x Rate/Km)",1,2,
Client Accounting - State Machine + Level 1 (Prebilling),35,"Manual entry fields: Toll & Permit, Waiting Charge, Others",1,2,
Client Accounting - State Machine + Level 1 (Prebilling),36,"Taxable Amount / GST / Total Amount calculated fields",1,2,
Client Accounting - State Machine + Level 1 (Prebilling),37,"Client Charges field + Balance calc (Total Amount - Client Charges)",1,2,
Client Accounting - State Machine + Level 1 (Prebilling),38,"Google Maps roundtrip link field",1,1,
Client Accounting - State Machine + Level 1 (Prebilling),39,"""Generate Prebill"" bulk action - stamps Prebill No. + Date across every selected case at once",3,4,
Client Accounting - State Machine + Level 1 (Prebilling),40,"Zoho Books: create/sync the Prebill record",3,4,
Client Accounting - State Machine + Level 1 (Prebilling),41,"""Send to Client"" action (email the prebill)",2,3,
Client Accounting - State Machine + Level 1 (Prebilling),,SUBTOTAL - Client Accounting State Machine + Level 1,25,35,
Client Accounting - Level 2 (Invoicing),42,"Client Revert handling - Add / Delete / Correct + audit comments on approved charges",5,7,"FLAGGED: estimate assumes Accounts handles this internally on the client's behalf (email/call), not a real client-facing portal. A true client-facing revert UI adds +8-12 hrs - see note below the sheet"
Client Accounting - Level 2 (Invoicing),43,"Accounts Adjustments - ability to edit any field for amounts/kms/charges; removing the Prebill No. reopens that case for a future prebill",4,5,
Client Accounting - Level 2 (Invoicing),44,"Accounts Comments audit field (""reason for change"")",1,1,
Client Accounting - Level 2 (Invoicing),45,"Invoice No. / Invoice Date manual entry fields",1,1,
Client Accounting - Level 2 (Invoicing),46,"""Create Invoice"" bulk action - stamps Invoice No. + Date across every case carrying a Prebill No.",3,4,
Client Accounting - Level 2 (Invoicing),47,"Zoho Books: create Invoice from original values + approved adjustments, apply GST",4,5,
Client Accounting - Level 2 (Invoicing),48,"""Invoice Sent"" action + email",2,3,
Client Accounting - Level 2 (Invoicing),,SUBTOTAL - Client Accounting Level 2,20,26,
Client Accounting - Level 3 (Receipt Accounting),49,"Receipt Accounting screen: Client search + Invoice No. search, display Taxable Amount / GST / Invoice Amount / Client Charges",3,4,
Client Accounting - Level 3 (Receipt Accounting),50,"Manual entry: Receipt, Receipt Date, UTR No., TDS, GST Receipt, GST Receipt Date, Accounts Comments",2,3,
Client Accounting - Level 3 (Receipt Accounting),51,"Balance Receivable calc (Invoice Total - Receipt - TDS - GST Receipt)",1,2,
Client Accounting - Level 3 (Receipt Accounting),52,"Zoho Books: link to / reconcile against Payments Received",3,4,
Client Accounting - Level 3 (Receipt Accounting),53,"Multiple-receipt / partial-payment handling (the Part Paid state)",3,4,
Client Accounting - Level 3 (Receipt Accounting),,SUBTOTAL - Client Accounting Level 3,12,17,
On-Demand Invoicing Automation,54,"Trigger on ticket Closed/Completed (workflow or Deluge schedule/function hook)",2,3,
On-Demand Invoicing Automation,55,"Branch logic: On-Demand (final amount) vs other clients (only when Rescue Charges > 0)",2,3,
On-Demand Invoicing Automation,56,"Find-or-create Customer in Zoho Books (match by phone/email; create if missing)",3,4,
On-Demand Invoicing Automation,57,"Reverse-GST calculation (Service Charge = Total Amount x 100/118, CGST 9% + SGST 9%)",2,3,
On-Demand Invoicing Automation,58,"Round Off / Adjustment line handling (exact-to-the-paisa reconciliation)",2,3,
On-Demand Invoicing Automation,59,"Create Invoice via Zoho Books API with Place of Supply = Karnataka default",2,3,
On-Demand Invoicing Automation,60,"Email invoice to customer",1,2,
On-Demand Invoicing Automation,61,"Write Invoice Number back onto the ticket record",1,1,
On-Demand Invoicing Automation,62,"Test against the two worked examples in the spec (Rs. 2,500 and Rs. 999 cases) for exact rounding match",2,3,
On-Demand Invoicing Automation,,SUBTOTAL - On-Demand Invoicing Automation,17,25,
Invoice Template / Branding,63,"Match Zoho Books invoice PDF template to Rescue branding (logo, layout, colors)",2,3,"Reference: 2858RSA.pdf sample"
Invoice Template / Branding,64,"Footer legal/compliance fields (GST No., SAC, CIN, declaration text, amount-in-words)",1,2,
Invoice Template / Branding,65,"Test print/PDF across both the On-Demand path and the Client Invoice path",1,2,
Invoice Template / Branding,,SUBTOTAL - Invoice Template / Branding,4,7,
Cross-Cutting QA & Hardening,66,"Multi-case consolidated payment run testing (Vendor Accounting Level 2)",2,3,
Cross-Cutting QA & Hardening,67,"Partial payment / Part Paid reconciliation testing (Client Accounting Level 3)",2,3,
Cross-Cutting QA & Hardening,68,"TDS/GST rounding edge cases across both the vendor side and the client side",2,3,
Cross-Cutting QA & Hardening,69,"End-to-end regression - confirm the existing ticket flow (payment fields already built this session) still works correctly after the reconciliation in Foundation task #10",3,4,
Cross-Cutting QA & Hardening,70,"Final documentation pass: FIELDS.md / ACCESS.md / README updates for the whole accounting layer",2,3,
Cross-Cutting QA & Hardening,,SUBTOTAL - Cross-Cutting QA & Hardening,11,16,
GRAND TOTAL,,ALL WORKSTREAMS COMBINED,153,217,"~4-6 weeks of focused solo work, depending on the client-portal question below"
