Phase,Category,#,Task Description,Min Hours,Max Hours,Depends On,Notes / Assumptions
5,Client Accounting - Level 2 (Invoicing),45,"Invoice No. / Invoice Date manual entry fields",1,1,"Task 7b",
5,Client Accounting - Level 2 (Invoicing),46,"""Create Invoice"" bulk action - stamps Invoice No. + Date across every case carrying a Prebill No.",3,4,"Tasks 43, 45",
5,Client Accounting - Level 2 (Invoicing),47,"Zoho Books: create Invoice from original values + approved adjustments, apply GST",4,5,"Task 2c, 46",
5,Client Accounting - Level 2 (Invoicing),48,"""Invoice Sent"" action + email",2,3,"Task 47",
,,,SUBTOTAL - Phase 5 Client Accounting Level 2,20,26,,
6,Client Accounting - Level 3 (Receipt Accounting),49,"Receipt Accounting screen: Client search + Invoice No. search, display Taxable Amount / GST / Invoice Amount / Client Charges",3,4,"Task 48",
6,Client Accounting - Level 3 (Receipt Accounting),50a,"Manual entry: Receipt, Receipt Date, UTR No.",1,1.5,"Task 49",
6,Client Accounting - Level 3 (Receipt Accounting),50b,"Manual entry: TDS, GST Receipt, GST Receipt Date, Accounts Comments",1,1.5,"Task 49",
6,Client Accounting - Level 3 (Receipt Accounting),51,"Balance Receivable calc (Invoice Total - Receipt - TDS - GST Receipt)",1,2,"Tasks 50a, 50b",
6,Client Accounting - Level 3 (Receipt Accounting),52,"Zoho Books: link to / reconcile against Payments Received",3,4,"Task 2c, 51",
6,Client Accounting - Level 3 (Receipt Accounting),53,"Multiple-receipt / partial-payment handling (the Part Paid state)",3,4,"Task 51",
,,,SUBTOTAL - Phase 6 Client Accounting Level 3,12,17,,
7,On-Demand Invoicing Automation,54,"Trigger on ticket Closed/Completed (workflow or Deluge schedule/function hook)",2,3,None,
7,On-Demand Invoicing Automation,55,"Branch logic: On-Demand (final amount) vs other clients (only when Rescue Charges > 0)",2,3,"Task 54",
7,On-Demand Invoicing Automation,56,"Find-or-create Customer in Zoho Books (match by phone/email; create if missing)",3,4,"Task 2a, 55",
7,On-Demand Invoicing Automation,57,"Reverse-GST calculation (Service Charge = Total Amount x 100/118, CGST 9% + SGST 9%)",2,3,"Task 55",
7,On-Demand Invoicing Automation,58,"Round Off / Adjustment line handling (exact-to-the-paisa reconciliation)",2,3,"Task 57",
7,On-Demand Invoicing Automation,59,"Create Invoice via Zoho Books API with Place of Supply = Karnataka default",2,3,"Task 2c, 56, 58",
7,On-Demand Invoicing Automation,60,"Email invoice to customer",1,2,"Task 59",
7,On-Demand Invoicing Automation,61,"Write Invoice Number back onto the ticket record",1,1,"Task 59",
7,On-Demand Invoicing Automation,62,"Test against the two worked examples in the spec (Rs. 2,500 and Rs. 999 cases) for exact rounding match",2,3,"Task 58",
,,,SUBTOTAL - Phase 7 On-Demand Invoicing Automation,17,25,,
8,Invoice Template / Branding,63,"Match Zoho Books invoice PDF template to Rescue branding (logo, layout, colors)",2,3,None,"Reference: 2858RSA.pdf sample"
8,Invoice Template / Branding,64,"Footer legal/compliance fields (GST No., SAC, CIN, declaration text, amount-in-words)",1,2,"Task 63",
8,Invoice Template / Branding,65,"Test print/PDF across both the On-Demand path and the Client Invoice path",1,2,"Tasks 59, 47, 63",
,,,SUBTOTAL - Phase 8 Invoice Template / Branding,4,7,,
9,Cross-Cutting QA & Hardening,66,"Multi-case consolidated payment run testing (Vendor Accounting Level 2)",2,3,"Task 25b",
9,Cross-Cutting QA & Hardening,67,"Partial payment / Part Paid reconciliation testing (Client Accounting Level 3)",2,3,"Task 53",
9,Cross-Cutting QA & Hardening,68,"TDS/GST rounding edge cases across both the vendor side and the client side",2,3,"Tasks 22, 57",
9,Cross-Cutting QA & Hardening,69,"End-to-end regression - confirm the existing ticket flow (payment fields already built this session) still works correctly after the reconciliation in Foundation task #10",3,4,"Task 10",
9,Cross-Cutting QA & Hardening,70,"Final documentation pass: FIELDS.md / ACCESS.md / README updates for the whole accounting layer",2,3,"All tasks",
9,Cross-Cutting QA & Hardening,71,"UAT / client sign-off walkthrough session (walk Operations + Accounts teams through both portals)",2,3,"Task 70",
,,,SUBTOTAL - Phase 9 Cross-Cutting QA & Hardening,13,19,,
,,,"GRAND TOTAL - CORE SCOPE (Phases 1-9, baseline Client Revert assumption)",152.5,218.5,,"~4-6 weeks focused solo work"
,,,,,,,
,OPTIONAL / CONTINGENT ADD-ONS (not in the grand total above - add only if applicable),,,,,
,Optional Add-on,O1,"Real client-facing portal for Prebill Revert, instead of Accounts handling it internally by phone/email (replaces/extends Task 42a)",8,12,"Task 42a","The single biggest scope swing factor in this whole estimate - confirm with client which model they actually want"
,Optional Add-on,O2,"Automated reminder emails for tickets stuck in ""Awaiting Client Revert"" beyond N days",3,4,"Task 41","Not mentioned in the spec docs but common in this kind of workflow - flagging as a likely follow-up ask"
,Optional Add-on,O3,"Multi-state GST / Place of Supply support, if any client is billed outside Karnataka",4,6,"Task 59, 47","Spec explicitly says ""Karnataka - default"" - only needed if that assumption doesn't hold for all clients"
,Optional Add-on,O4,"Role-based screen access hardening - separate Operations-approver vs Accounts-payer permissions instead of relying on existing Zoho profile setup",4,6,"Task 18, 25a","The spec implies Operations and Accounts are different people/roles at Level 1 vs Level 2 - flagging in case that separation needs to be enforced in-app, not just organizationally"
